name,description,director,actors,year,cover,original_name,url,genres_ids
أمير البحار,أمير البحار,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2809.jpg,أمير البحار,http://5.135.130.33:8800/vid.php?h=YkRzeFhQL1VnekpUZWNtK0dsTWsvaUJreW9jQlNPZnoyRnhWZDRwMjN3dUs2OHczMkxUaUtIUzh6TFF0VXlBeHJsY0ZXUy9WbU82STdmMjhZdXRqZlE9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=67993c9acd24269dd71064bcb9c8519cb5523fd81343&v=arabic2/أمير-البحار.mp4,Arabic
كاريوكي,كاريوكي,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2810.jpg,كاريوكي,http://5.135.130.33:8800/vid.php?h=YTd5SHFjYXFsRFpJM21ndG44RWV4WFZnYjRZQ1JyRzYyTHpFRWkzQUxvR1E5QVlQdnNBSjVQdW5KVk52anJlS1VENXduakVLVFMyUXBNUmFKNXZUZ1E9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=2359b9f943d46c03a04e14fc491e0f94ef6b0a79d30e&v=arabic2/كاريوكي.mp4,Arabic
حماتي بتحبني,حماتي بتحبني,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2811.jpg,حماتي بتحبني,http://5.135.130.33:8800/vid.php?h=SHk5SlBSQjUxWFA2U0dQZGQvNU1FRHV5QmtSSjhsYVNDS3hiN1ZYY0ZOR0tNajEyN2FkNDhxOTNBUzZTaE03eXVUL3ZhVG9pc2hBU1BsZ09nMU5TR2c9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=5026cf69f71de0e3483ce911ab5e29625fd7ab528216&v=arabic2/حماتي-بتحبني.mp4,Arabic
القط,القط,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2812.jpg,القط,http://5.135.130.33:8800/vid.php?h=SmdIRDZCK1RMVVM3UStQVnZYejJJdEJXeEg4U0dic3gvc0hBUTdkeEI4dnhxSkN4UlkyNXJ0QUhGQXNSbGZYam4yVG5YR01VN2QzMDBZNUd2SGhUL3c9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=8ba472413eef67c5c89e26218eaf783081f095653d23&v=arabic2/القط.mp4,Arabic
شبه منحرف,شبه منحرف,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2813.jpg,شبه منحرف,http://5.135.130.33:8800/vid.php?h=b0JmWFBCeFBObW4wUUI1SVd5K2JtNXZIVUJ4MlNsa3FIa1Jrb2ZLWlhBaTBISjhrcnNRam9DZUpYK3ZBYXIyS2Urb1RsRmdXa0ZOSFFQV2ZjM3ZmRUE9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=f0deb81540e13792044e9070e1c124a5363472a54a70&v=arabic2/شبه-منحرف.mp4,Arabic
الفرح,الفرح,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2814.jpg,الفرح,http://5.135.130.33:8800/vid.php?h=LzFIdE1seGdWL2xhczVha3hNRXlNMkdiWEVmaHBrTXFkWHlLRmhTejZBQWQ1SjVqNDRXdGtVTnMvWUx5NmVrYjlzZzJ3UDB2UEUvQlgzenZ3QXhPcWc9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=66a4563218849507365956634def4ea41b63b9d5eeb5&v=arabic2/الفرح.mp4,Arabic
مافيا,مافيا,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2815.jpg,مافيا,http://5.135.130.33:8800/vid.php?h=NzY5SkF4NHZGQkgvaUZDak9YTnBJZzVaL3RGR01BQ2hmS0psL1FrVUlWaUZlSCtYTU1yUkZxemZzdmNNZ292azE4YUdzS0UyNjJ2cWN3WWRnTy9vV1E9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=07870beb473c635705abfa333f753a9ae5674124abf2&v=arabic2/مافيا.mp4,Arabic
جيم أوف,جيم أوف,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2816.jpg,جيم أوف,http://5.135.130.33:8800/vid.php?h=aDBWQUl5NWJIUVhXRGo4NmtxM3Nwa1A1VU8zc3NXc0V3QkV3cWZsNlRmMUpxWlhGdFVoSG9nQXJ4RFJrTW1vUmtxV3N5UERNZzFzcG5kdml2eFRLNkE9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=f76b73fc87efeca64b1827ccf7de27ba27cdf03d65f8&v=arabic2/جيم-أوف.mp4,Arabic
بنات العم,بنات العم,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2817.jpg,بنات العم,http://5.135.130.33:8800/vid.php?h=dmx5ckNXOUZRaWtSbUdIb3BpekxCUWVUbXQvQ015cG1oMHd3WTE5WFcrVTY1UzY4U2VJd2lHUE9DRVlROHk2aXRTaU8vTUJaZ1A0STIraGFsMmdPQkE9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=466c4fbb21e3dbaee132d2b485a2b1917990ff5fd624&v=arabic2/بنات-العم.mp4,Arabic
الديكتاتور,الديكتاتور,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2818.jpg,الديكتاتور,http://5.135.130.33:8800/vid.php?h=YkJZL0xEMDhlSWIwcVpNL090dHhaSGdvdWJQNGpIYlRaU0x3QzFLa2tmdGJGRFBuUTlZYTVBWlp2K2dwVkVXVis0WkJac0pvRDhTMWFCYnJ4QXk0K2c9PQ%3D%3D&t=MTUyMjkwNTExNQ%3D%3D&z=89de7587097ea0141a8771869cb53090c5214795a693&v=arabic2/الديكتاتور.mp4,Arabic
