name,description,director,actors,year,cover,original_name,url,genres_ids
Sully,Sully,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2297.jpg,Sully,http://5.135.130.33:8800/vid.php?h=SEIxbHgrejd2V2RVMFBiN0R2Rm5DWmllRit6SWVRRkRZU0lYeDVnbWhVNjE1VEdEWm1oQllsRzFVSk80UkNyV2NveDZHdFg3SkN2ZVk0aGxaa1BXYVE9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=de8a403e7e5d5edf21c3c08df48ce2d916dcbf94f0ce&v=english_Sully_20170325025758.mp4,Action
Summer Camp,Summer Camp,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2298.jpg,Summer Camp,http://5.135.130.33:8800/vid.php?h=Y1l0MnN2NTJMZEZYMVVsQis2U3BQTzR0a2pNcVV0WU1wV1JmaGFqVlNPL0ZxSHVMN1dOMXhTZEQyY3FIU3djZnVVUFRGS2JaK09MODFtUVNMMTdkcGc9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=8c7371acd9a02de64b5637f9c423dafb78cc76ee719a&v=english_Summer-Camp_20170325025926.mp4,Action
Swiss Army Man,Swiss Army Man,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2299.jpg,Swiss Army Man,http://5.135.130.33:8800/vid.php?h=UndmWldPYjFsMGxleDZPQnNJdWxHRmRTczBXbWdFZFpSSXNkNS9vYm0ybkhGYVQxb1JyWTI2M215TEtTTUtMaG9GNFBDdHZNcGhLYyt2NTgzMzZ3Mnc9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=6ff848c6789e26690d76f502e8d8b8e59e75e3d17635&v=english_Swiss-Army-Man_20170325030043.mp4,Action
Take Shelter,Take Shelter,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2300.jpg,Take Shelter,http://5.135.130.33:8800/vid.php?h=UmRRbVo3MHNlQWtpZE16aTlpZjJ5dzlCTXp3bTVYQVM3VUtXRzZxYkYvazlZMXpGNkJOWkZKVW04L0VqaVdUQzNKSEdob09zeVJNYTZyQWxKbklJcWc9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=f6a12110b61b03837e9f5520dee041540d32e48105b4&v=english_Take-Shelter_20170325030221.mp4,Action
Teenage Mutant Ninja Turtles  Out of the Shadows,Teenage Mutant Ninja Turtles  Out of the Shadows,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2301.j,Teenage Mutant Ninja Turtles  Out of the Shadows,http://5.135.130.33:8800/vid.php?h=V2g0d28vZmRDL1BMRFh5UEtGeHRKeHdYMWVNVFdxOTNBMDNvSmRDVW54Rk5RVlZSa0Jmb3d0UEtWNlozeDVKMG90OU5SOXF3UnpaUnEyQklSMHR3WlE9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=878c966b67332809ab562255aab7e26903b506b953fa&v=english_Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows_20170325030404.mp4,Action
The Accountant,The Accountant,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2302.jpg,The Accountant,http://5.135.130.33:8800/vid.php?h=NnBMTSs4Y2RkSWM3Slc1Y1NHeHpXMk1PbVhORk9ibVovU0tXRGxhakYweEFYVlpSSUxteE02ZUtVeG0wZGdybzJTNGtQSU1SUk5MUGU3NVNjb0FxUFE9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=78222e42ae843d7476036ef8f079d5283318bf919133&v=english_The-Accountant_20170325030558.mp4,Action
Race to Win,Race to Win,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2303.jpg,Race to Win,http://5.135.130.33:8800/vid.php?h=cEo3a3FycVorYmRvK2xlMm1sS0xMWGlYeUtrVTI4N2tVOGtjY3hHdFQ0OHZueG1KSXhuTUgzTjA1K2tZZ05xMWtYZmNkTmpodTY0cDVwL2huTy9SK1E9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=f06b6be0521b984001c7e484f37d48d965ab941af019&v=english_Race-to-Win_20170327204753.mp4,Action
The African Queen,The African Queen,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2304.jpg,The African Queen,http://5.135.130.33:8800/vid.php?h=WFZWUlBBUlJkZjJGc01TMDRvai9KZkF0WDcvRlpGZktFbnJuc3RyR3orY1NaQy82TUcxcTJZNjFUcnZzUkZEUm9LMHZvQzRudlZHcjQyT1QvNVNMWnc9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=5a05ea01c6a80fcb56a09be31a04da859c67d8eec6fe&v=english_The-African-Queen_20170327210326.mp4,Action
The BFG,The BFG,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2305.jpg,The BFG,http://5.135.130.33:8800/vid.php?h=b0xBWU1xSlVFY2d1QmoyRzhGdFByYytvcDNDeEFQYkJ2OG1odWtyRnoxMGFDWEtmQ0JaOWxycjBDTmFYYWhaVVZ5SHRRaEZuSWI0TGN2R1BnS0tud2c9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=dca27a036677164194d2fdb6dd03d84aa6fcfc036e1e&v=english_The-BFG_20170327210447.mp4,Action
The Black Water Vampire,The Black Water Vampire,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2306.jpg,The Black Water Vampire,http://5.135.130.33:8800/vid.php?h=SkRJMGRYT29zLzRDY2wzaG1pb1NqYUd0OVROUjR6anZVdFRXZ0l2MnFsZzM3am1tejNoNFFGUHFBdFVHOVhoaklGK0FaS2FBejdjT3NqY05CU2cvbmc9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=5446be5d6c0923cc3f1fc540fad020cb7a7d3aee301f&v=english_The-Black-Water-Vampire_20170327210701.mp4,Action
The Boss,The Boss,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2307.jpg,The Boss,http://5.135.130.33:8800/vid.php?h=N0lmSHFlVk5zdHpOOGFaMkROU3ZXUGluaS9QdGFQeGc5L2xUT1NqRVJLR2JrekZ6V3VRc0hDVEJxcDFvaVVtaU9uZ1NQNmVBUGMzTzRLZ1A2R1BOZ1E9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=672f7e963ead112f97d683af6018ca4b19bdaf88e49f&v=english_The-Boss_20170327210911.mp4,Action
The Crush,The Crush,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2308.jpg,The Crush,http://5.135.130.33:8800/vid.php?h=a3A2cWRRWERPNjE4OGlBWHgwSHJZajExVWY0N2FZNUdPN1ZhVGFmdW5pWTlYTWlOcGlMVGNDeVhOWkZheEcvemJsOE8yOFhYekgzMXRDM25YaFdHNEE9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=4fc194f1ffacd268e6fdc93fb09a9faf8c37f7729329&v=english_The-Crush_20170327211144.mp4,Action
The Disappointments Room,The Disappointments Room,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2309.jpg,The Disappointments Room,http://5.135.130.33:8800/vid.php?h=dUpkUHE3S2dkSEJvTDVna3JUVHcxempGU1lHaDRVdlhvQXBKWnVNNHUwaVhZR3c3ejBWZlZ4cmJMQmIwNUc2VXQ4TnpDWW5rblpmcjY4SG01NUtxaGc9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=bfa5540cb8e897ac382ecf1eac687023086e36ff7e23&v=english_The-Disappointments-Room_20170327211350.mp4,Action
The Huntsman  Winter s War,The Huntsman  Winter s War,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2310.jpg,The Huntsman  Winter s War,http://5.135.130.33:8800/vid.php?h=M2RlZVY4RkZZSEtROFkrdTh0T0pTRWZTQzN3a1ZUb05GOXdJN0Z3cmk4NjU3d1ZXZXpMcWs2b2RPcVVnbzFXV1MvdFlEeGF4SE1ZWHJ1cUluZ0RNZWc9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=92b650c2a1d6a12bc13c5fefe4f3ff8759ae4929a97e&v=english_The-Huntsman-Winters-War_20170327211529.mp4,Action
The Love Witch,The Love Witch,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2311.jpg,The Love Witch,http://5.135.130.33:8800/vid.php?h=a2pEV2h3L3k5cTZBYWZxUGRJdFlzT0RhNStibUg5c29YQnVHODVJUmNqMWZOQVo0a2hPQWlMYWx0bkZvL1JWSnhScUp0RlJqQmRveHB2cXU5ejJCcGc9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=545ddc3aadc28b0f8329a436ff12495a18c9552cd080&v=english_The-Love-Witch_20170327211658.mp4,Action
Why Him?,Why Him?,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2312.jpg,Why Him?,http://5.135.130.33:8800/vid.php?h=RDBWcnNrUHJzeks5N1RsTnMySnJyaWt6dVJoWkJmSG9sV2E1NGhpSGZUemIxY1FuNUUyd3RMaVNTYmZ3SktKOXBEMmxEamhGMzFsbkNhNDMzeWVDM0E9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=63405102c0c60e474793ba452bd165da5ca12fb53ea9&v=english_Why-Him_20170327211852.mp4,Action
Zoombies,Zoombies,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2313.jpg,Zoombies,http://5.135.130.33:8800/vid.php?h=ZlN6bXJCcWh4RElwQk5wRTRVQmxMZlZWNzhqNGUrcUdpSG04dXUybWFjeTVjYy8xZzVhV2g3OUxtQTJVeHYxaE9TQkdtL2pCSUduMEkvSXlGWFJWQ2c9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=113687cc3b1fc5b311e003355e3d4a61a2f4bb1e645f&v=english_Zoombies_20170327212012.mp4,Action
Ghost in the Shell,Ghost in the Shell,,,2018,http://portal.suptv.me/stalker_portal/screenshots/24/2314.jpg,Ghost in the Shell,http://5.135.130.33:8800/vid.php?h=cTBtSWQwUEw0enVTa2tybVNXMTMwUUt2VFZZQ3NVVnNmeHNSQlJ6emV2YnNxcXpYMmFNVHRwY3FvZW5PTVliSk5PQ2JMR1lGMWsxa0xjTnFCVlVLc0E9PQ%3D%3D&t=MTUyMjg3OTY4Mg%3D%3D&z=774d89204829c4819b918ceae694fa610164426d7390&v=english_Ghost-in-the-Shell_20170517121134.mp4,Action
Sinners and Saints,Sinners and Saints,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2276.jpg,Sinners and Saints,http://5.135.130.33:8800/vid.php?h=MGxUZk40cWpGNCtUWDNQaVdiWm05VUFrOEdkaS9ET1NFYTdKL3VMangvbXhrV2ZlR1J5UFFSWXpIVDJFeVY0MEdaMTV4c1hXaGRDTE5JZG9QQnp4VWc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=1bfc87ab5ea70f38cecb6b9cc88c6e940f93e9f92cb3&v=english_Sinners-and-Saints_20170324030058.mp4,Action
Sniper  Special Ops,Sniper  Special Ops,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2277.jpg,Sniper  Special Ops,http://5.135.130.33:8800/vid.php?h=ZDFoS05xU2VJdUdMR0l0QVBvSXhWcTJIaTNSWkpUSGJjcmViVVduTDNYV1pKSUYyYjVEVGlIUzY0T2gxc2VrTUlKN256UlV4S29HU3Z0THR4VW5SMHc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=6085b6264e93ff0b579373eba7f7724b4e0b3011546f&v=english_Sniper-Special-Ops_20170324030823.mp4,Action
Something Wild,Something Wild,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2278.jpg,Something Wild,http://5.135.130.33:8800/vid.php?h=TVIzWE1EeUFRc2RjNkRXcHZDUTd3Q09VUGRiQi9pTjBlTDU2YS9Lc3FCUGxZeEdCSVYzaDY4UXk4U3UzN09lUmVkc1pIUGJ0OEtmcEV1cXJxdUt4QXc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=6a591489d727c2287638fe9cff32bb781af32d99e994&v=english_Something-Wild_20170324033632.mp4,Action
Snow White  A Tale of Terror,Snow White  A Tale of Terror,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2279.jpg,Snow White  A Tale of Terror,http://5.135.130.33:8800/vid.php?h=aDhmeUoyRXVJMTFOOUUrVW9uYWNmU3hCcnZpSzN5alNxL2FPWmVRVzlMVVM0b29QVDJzTlFoODQvZUpUU0NBeTBzRzcySmpMT01mTXdxWkpwcVlST2c9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=cc12650cf213b7c094ddfff201438d35febea9b751e4&v=english_Snow-White-A-Tale-of-Terror_20170324033921.mp4,Action
Southbound,Southbound,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2280.jpg,Southbound,http://5.135.130.33:8800/vid.php?h=TGZxSkp4cDV1WGJ6UzBpOXdPWDhCWS9tYUViWldsSlBHSHlzeFBSRU9WWUtlaWo1TlUzUFBGM2kyWSt4VVdZaVl6L0tsY3o0RVM1Z0V5cXdBRmt4Z3c9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=1e142f41f38644ed928f8961778a2c30251d81cc7dbb&v=english_Southbound_20170324034208.mp4,Action
Underworld  Blood Wars,Underworld  Blood Wars,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2281.jpg,Underworld  Blood Wars,http://5.135.130.33:8800/vid.php?h=NFlwNUFKZU1OaUdXL0RjRHRHTnAwUWNvMVNCbU9OQnRXUzlvZVhFMUpTQUlSMU5ILytqTTllS0tFUWxyOUgyVWtVczlsY3Y3MXhpNGlCTks0a1FDR2c9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=e477938a6d199df3ec34fda94bcbaec513e1cb21d6a5&v=english_Underworld-Blood-Wars_20170324034641.mp4,Action
Southside with You,Southside with You,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2282.jpg,Southside with You,http://5.135.130.33:8800/vid.php?h=ck5neklLaEt4WE9OYWdlb1RINzJuSFg2eDlJN0pSWS9OeE8rRnphNmR5Uksxb21hYkZGd1g3bHltRVVlbkpIa3lnVUsrbUsyQkdtbjZFSUVpMWlGUWc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=1fe07aa08708cfd76916bc58ddc676f1c7cdc33e1f3f&v=english_Southside-with-You_20170324175915.mp4,Action
Space Junk 3D,Space Junk 3D,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2283.jpg,Space Junk 3D,http://5.135.130.33:8800/vid.php?h=Z01qekhDa2FGU0wxanJEQ1dUMGNna0JpYzBNZG5ndTZNbzE4dHRlQithSmVqZ2lKeDBhNjFVdTRxbGxSNEp2eVJiazUwOGU5RHRCc2xJRlErQmVxVEE9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=47ee24fb931155a0e3dff654c15fafbf9adc7a35b1f8&v=english_Space-Junk-3D_20170324180514.mp4,Action
Spanglish,Spanglish,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2284.jpg,Spanglish,http://5.135.130.33:8800/vid.php?h=VUVodmlCZDB1RWNOUEFkbmUrSzFEWE1yenVQMkRUNjBOY2JUM0hiYURyQ0k2Z2FoTTM1c1B1SHgySUlrNFBWVmVyVHZOaHBkOHFoZFArWDBYVEZ5aUE9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=1b4e7ee228abde98e7c6740d346a40c8681cb8fab263&v=english_Spanglish_20170324180701.mp4,Action
Spawn,Spawn,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2285.jpg,Spawn,http://5.135.130.33:8800/vid.php?h=TXhuSngwSUhyd3gxVlUwTHYyc0FNSjVaWUFGeEtEMGdiMVBxOEVEby9UYXJFeDRPL2FSVG5SN0xUN1RyMGpUOE5HbzQvQmpqYUFvTGlBbUk5L2lTL1E9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=934d4248403f04f6d74c69b16c8542d94c8965a15978&v=english_Spawn_20170324180851.mp4,Action
Star Trek Beyond,Star Trek Beyond,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2286.jpg,Star Trek Beyond,http://5.135.130.33:8800/vid.php?h=cEtEZHhCVU5aMW81Y0xpVzF1cXliUkMwSVBRM0VPNFJ2QUhISW14cWRmZGtVSnpiM3JpY3hwUHVEVmRucFpvTmE1Z0xnRE4xWGlvdS8vTFJXNE1QY1E9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=72f674a73da4bda50738f0ef4162740a3607849ce7de&v=english_Star-Trek-Beyond_20170324181724.mp4,Action
Starter for 10,Starter for 10,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2287.jpg,Starter for 10,http://5.135.130.33:8800/vid.php?h=QXEreFo1NnVGT0dRREdDeFdkTGlJemI0R0FSQkxKMkVuc2tzSURtMGJoV01vTU5BUnhUQUk0RXV4K0pwUnFyUzhjUnkwaFp6TnArUHNFRzZJb3VCUGc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=8fa54c7acbdead6eb1c876f2cd5535dac4eeadb37e74&v=english_Starter-for-10_20170324182843.mp4,Action
