name,genre_id,logo,url
VIAJAR HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3712.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/501.ts
TOROS TV HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3711.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/502.ts
TNT HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3714.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/503.ts
TELECINCO HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3715.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/505.ts
TCM HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3716.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/507.ts
SYFY HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3717.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/508.ts
SUNDANCE,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3718.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/509.ts
R. MADRID TV,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3719.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/510.ts
PARAMOUNT,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3722.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/511.ts
NOVA,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3723.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/512.ts
NONSTOPEOPLE,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3720.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/513.ts
NICKELODEON HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3721.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/514.ts
NICK JR esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3830.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/515.ts
NG WILD HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3724.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/516.ts
NEOX,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3725.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/517.ts
NAT GEO HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3726.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/519.ts
MULTIDEPORTE,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/520.ts
MTV ESPA¹A,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3727.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/521.ts
MEZZO LIVE HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3728.gif,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/522.ts
M.MOTOGPHD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3731.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/525.ts
M.FORMULA1HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3734.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/526.ts
M.ESTRENOSHD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3737.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/527.ts
M. XTRA HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3735.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/529.ts
